VentaID;FechaVenta;HoraVenta;SucursalNombre;CiudadSucursal;VendedorNombre;ClienteNombre;GeneroCliente;EdadCliente;EmailCliente;TelefonoCliente;DireccionCliente;MetodoPago;NombreProducto1;MarcaProducto1;CantidadProducto1;PrecioUnitarioProducto1;SubtotalProducto1;NombreProducto2;MarcaProducto2;CantidadProducto2;PrecioUnitarioProducto2;SubtotalProducto2;NombreProducto3;MarcaProducto3;CantidadProducto3;PrecioUnitarioProducto3;SubtotalProducto3;DescuentoVenta;TotalVenta
1;31/12/2015;5:42:43 a. m.;Techcore Pereira;Pereira;Amílcar Ortega-Alberto;Bienvenida Nebot-Fiol;F;37;bienvenida19@hotmail.com;+34806548767;cll 52 #32-98;Tarjeta Crédito;Apple MacBook Pro 16;Apple;1;9600000;9600000;MSI GS66 Stealth;MSI;2;8000000;16000000;Dell Latitude 7420;Dell;1;5600000;5600000;0;31200000
2;23/03/2019;7:03:21 p. m.;Techcore Medellín #1;Medellín;Ana Sofía Llopis Blázquez;Teófila Bueno-Novoa;F;43;teofila35@gmail.com;+34947255990;cll 96 #81-94;Billetera Digital;Acer Nitro 5;Acer;1;4000000;4000000;Lenovo ThinkPad X1 Carbon;Lenovo;1;6800000;6800000;;;null;null;null;0;10800000
3;23/12/2018;2:32:34 a. m.;Techcore Medellín #2;Medellín;Juan José Porcel-Riera;Gilberto Chamorro Catalá;M;38;gilberto57@hotmail.com;+34978810249;cra 28 #79-85;Tarjeta Débito;Dell Latitude 7420;Dell;2;5600000;11200000;Lenovo Legion 5 Pro;Lenovo;1;7200000;7200000;HP Pavilion 15;HP;1;3500000;3500000;0;21900000
4;14/11/2015;12:37:36 a. m.;Techcore Medellín #2;Medellín;Juan José Porcel-Riera;Máximo Coronado Huerta;M;30;maximo65@hotmail.com;+34825429634;cll 5 #89-26;Billetera Digital;Asus TUF Gaming A15;Asus;1;4800000;4800000;Lenovo Yoga 7i;Lenovo;2;4400000;8800000;;;null;null;null;0;13600000
5;29/11/2016;10:34:20 a. m.;Techcore Cali;Cali;Jacinta Juárez Marín;Yago Oliver;M;51;yago38@yahoo.com;+34988285275;cra 32 #97-86;Tarjeta Crédito;HP Spectre x360;HP;1;5200000;5200000;HP Pavilion 15;HP;1;3500000;3500000;Microsoft Surface Laptop 4;Microsoft;1;5200000;5200000;0;13900000
6;8/01/2015;10:33:55 p. m.;Techcore Cali;Cali;Clímaco Salinas Zabaleta;Conrado Patiño Tejero;M;22;conrado82@hotmail.com;+34942980111;cra 4 #25-1;Billetera Digital;Samsung Galaxy Book Odyssey;Samsung;1;6800000;6800000;Asus VivoBook 15;Asus;2;2400000;4800000;HP Omen 16;HP;1;6000000;6000000;0;17600000
7;2/10/2022;11:56:06 a. m.;Techcore Cali;Cali;Jacinta Juárez Marín;Isabela de Jover;F;36;isabela71@gmail.com;+34726214892;cra 72 #48-24;Billetera Digital;Lenovo IdeaPad 5;Lenovo;2;2800000;5600000;Dell XPS 13;Dell;2;4800000;9600000;;;null;null;null;15;12920000
8;4/06/2022;7:00:48 a. m.;Techcore Pereira;Pereira;Carina Parejo Carranza;Cristian Diez Gual;M;43;cristian12@yahoo.com;+34979665063;cra 95 #52-59;Tarjeta Crédito;Asus TUF Gaming A15;Asus;2;4800000;9600000;Lenovo Yoga 7i;Lenovo;1;4400000;4400000;Dell Latitude 7420;Dell;2;5600000;11200000;5;23940000
9;14/01/2019;12:27:53 p. m.;Techcore Bogotá #2;Bogotá;Edu Juan Pedraza;Gertrudis Espinosa-Jódar;F;35;gertrudis61@gmail.com;+34807279120;cra 48 #3-92;Tarjeta Crédito;Dell XPS 13;Dell;1;4800000;4800000;;;null;null;null;;;null;null;null;0;4800000
10;19/07/2023;2:25:30 p. m.;Techcore Bogotá #2;Bogotá;Armida Azorin Plaza;Sergio Paulino Cánovas Redondo;M;24;sergio78@hotmail.com;+34926930322;cra 41 #99-47;Transferencia;Lenovo Legion 5 Pro;Lenovo;2;7200000;14400000;Lenovo ThinkPad X1 Carbon;Lenovo;2;6800000;13600000;;;null;null;null;0;28000000
11;7/03/2016;6:38:40 a. m.;Techcore Cali;Cali;Rosendo Barberá Cordero;Fanny Riquelme Donoso;F;48;fanny39@hotmail.com;+34820005586;cra 17 #85-95;Tarjeta Débito;HP Pavilion 15;HP;2;3500000;7000000;Dell Alienware m15;Dell;2;8000000;16000000;;;null;null;null;0;23000000
12;29/11/2019;3:53:27 p. m.;Techcore Bogotá #2;Bogotá;Herminia Meléndez-Huguet;Delfina Benitez Huguet;F;35;delfina48@hotmail.com;+34881969696;cll 74 #6-82;Billetera Digital;HP Spectre x360;HP;2;5200000;10400000;;;null;null;null;;;null;null;null;0;10400000
13;12/06/2015;11:35:15 a. m.;Techcore Medellín #2;Medellín;Almudena Adelaida Lledó Garrido;Augusto Murcia-Almazán;M;32;augusto87@hotmail.com;+34875108117;cra 13 #5-79;Tarjeta Débito;HP Envy 13;HP;2;4000000;8000000;;;null;null;null;;;null;null;null;0;8000000
14;20/10/2019;7:11:34 p. m.;Techcore Pereira;Pereira;Jose Angel Rovira Adadia;Carmina del Collado;F;35;carmina84@yahoo.com;+34973522199;cll 34 #61-14;Tarjeta Crédito;Lenovo Legion 5 Pro;Lenovo;2;7200000;14400000;Lenovo IdeaPad 5;Lenovo;2;2800000;5600000;Lenovo Yoga 7i;Lenovo;1;4400000;4400000;0;24400000
15;23/04/2024;10:29:04 p. m.;Techcore Medellín #1;Medellín;Eusebia Jara Macias;Samu Pepito Palomino Mancebo;M;25;samu28@hotmail.com;+34730623302;cra 40 #60-34;Billetera Digital;Lenovo Legion 5 Pro;Lenovo;1;7200000;7200000;Samsung Galaxy Book Pro;Samsung;2;4800000;9600000;;;null;null;null;0;16800000
16;12/02/2023;6:46:06 p. m.;Techcore Cali;Cali;Basilio Marcos Barrena;Raimundo Murcia Moraleda;M;44;raimundo91@gmail.com;+34974797672;cll 68 #20-46;Tarjeta Crédito;Lenovo IdeaPad 5;Lenovo;2;2800000;5600000;Lenovo ThinkPad X1 Carbon;Lenovo;2;6800000;13600000;;;null;null;null;15;16320000
17;4/02/2016;2:10:36 p. m.;Techcore Medellín #1;Medellín;Eusebia Jara Macias;Leandro Pereira Coca;M;36;leandro51@gmail.com;+34718167173;cra 96 #19-82;No Especificado;Lenovo Legion 5 Pro;Lenovo;1;7200000;7200000;Dell Latitude 7420;Dell;2;5600000;11200000;HP Spectre x360;HP;1;5200000;5200000;0;23600000
18;15/10/2020;7:48:24 p. m.;Techcore Bogotá #2;Bogotá;Olivia Armas Ayuso;Pepito Rebollo Bueno;M;29;pepito31@hotmail.com;+34822397941;cll 94 #24-74;Transferencia;HP Omen 16;HP;1;6000000;6000000;Lenovo Yoga 7i;Lenovo;1;4400000;4400000;;;null;null;null;5;9880000
19;17/11/2019;4:30:51 a. m.;Techcore Pereira;Pereira;Carina Parejo Carranza;Pastora Novoa Perea;F;46;pastora49@gmail.com;+34732033755;cra 67 #18-94;No Especificado;Dell Inspiron 15;Dell;1;3000000;3000000;HP Spectre x360;HP;1;5200000;5200000;Acer Swift 3;Acer;2;2600000;5200000;0;13400000
20;20/12/2014;2:26:28 p. m.;Techcore Medellín #1;Medellín;Ibán López Córdoba;Benito Samper Salcedo;M;49;benito98@gmail.com;+34921357971;cra 5 #10-32;Transferencia;Apple iMac 24;Apple;2;6400000;12800000;Apple MacBook Pro 14;Apple;2;8000000;16000000;Apple MacBook Air M1;Apple;2;5500000;11000000;0;39800000
21;26/10/2016;7:52:10 p. m.;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Juan Carlos Zorrilla Torrens;M;18;juan8@yahoo.com;+34888191319;cra 9 #12-5;Tarjeta Débito;HP Spectre x360;HP;2;5200000;10400000;Apple MacBook Air M1;Apple;1;5500000;5500000;;;null;null;null;1;14310000
22;5/06/2023;6:19:52 a. m.;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Máximo Díaz Millán;M;24;maximo25@hotmail.com;+34841141652;cra 71 #97-18;Efectivo;Samsung Galaxy Chromebook 2;Samsung;2;2000000;4000000;Dell Latitude 7420;Dell;2;5600000;11200000;;;null;null;null;0;15200000
23;23/11/2018;12:57:03 p. m.;Techcore Bogotá #1;Bogotá;María Belén Alegria Camps;Luis Miguel Díaz Fonseca;M;49;luis88@yahoo.com;+34975681419;cll 32 #61-83;Tarjeta Crédito;Asus VivoBook 15;Asus;1;2400000;2400000;Microsoft Surface Go 3;Microsoft;2;3000000;6000000;Dell Alienware m15;Dell;1;8000000;8000000;0;16400000
24;26/02/2020;5:45:53 p. m.;Techcore Pereira;Pereira;Amílcar Ortega-Alberto;Juanita de Reig;F;45;juanita46@yahoo.com;+34972681005;cll 69 #73-59;Tarjeta Débito;Dell Inspiron 15;Dell;2;3000000;6000000;Apple MacBook Pro 14;Apple;1;8000000;8000000;Lenovo ThinkPad X1 Carbon;Lenovo;2;6800000;13600000;5;26220000
25;22/01/2020;4:22:33 a. m.;Techcore Pereira;Pereira;Carina Parejo Carranza;Evita Torrecilla Rivas;F;32;No especificado;+34824127866;cra 63 #13-93;Tarjeta Débito;Apple MacBook Air M1;Apple;2;5500000;11000000;Asus ROG Strix G15;Asus;1;6400000;6400000;Dell Alienware m15;Dell;1;8000000;8000000;0;25400000
26;1/09/2025;5:23:01 p. m.;Techcore Cali;Cali;Basilio Marcos Barrena;Amado Cecilio Borrell Blanca;M;27;amado31@yahoo.com;+34944575665;cra 26 #66-65;Tarjeta Débito;Dell Alienware m15;Dell;1;8000000;8000000;;;null;null;null;;;null;null;null;0;8000000
27;6/03/2023;9:09:34 p. m.;Techcore Medellín #1;Medellín;Ibán López Córdoba;Ulises Taboada Bru;M;26;ulises4@gmail.com;+34749886498;cra 16 #35-93;Transferencia;Dell XPS 13;Dell;1;4800000;4800000;;;null;null;null;;;null;null;null;15;4080000
28;5/10/2021;8:32:26 a. m.;Techcore Bogotá #1;Bogotá;María Belén Alegria Camps;Tristán Montesinos Lorenzo;M;30;tristan2@gmail.com;+34883410463;cll 4 #80-36;Transferencia;HP Omen 16;HP;1;6000000;6000000;Asus ROG Strix G15;Asus;1;6400000;6400000;;;null;null;null;5;11780000
29;5/06/2016;5:32:11 p. m.;Techcore Cali;Cali;Jacinta Juárez Marín;Crescencia Segura Salas;F;25;crescencia37@gmail.com;+34974232629;cll 35 #77-31;Tarjeta Débito;Dell XPS 13;Dell;1;4800000;4800000;;;null;null;null;;;null;null;null;0;4800000
30;2/12/2016;4:08:57 a. m.;Techcore Bogotá #1;Bogotá;Aura del Bermúdez;Tomasa Benito Casanova;F;35;tomasa98@hotmail.com;+34800256289;cra 52 #3-43;Transferencia;Asus ZenBook 14;Asus;1;3800000;3800000;Lenovo IdeaPad 5;Lenovo;2;2800000;5600000;Asus VivoBook 15;Asus;2;2400000;4800000;0;14200000
31;7/11/2024;9:30:34 a. m.;Techcore Medellín #2;Medellín;Juan José Porcel-Riera;Daniel Dalmau;M;34;daniel87@hotmail.com;+34704190563;cll 22 #4-10;No Especificado;Lenovo Legion 5 Pro;Lenovo;1;7200000;7200000;;;null;null;null;;;null;null;null;0;7200000
32;8/12/2016;1:38:51 a. m.;Techcore Bogotá #1;Bogotá;Evaristo Guillen Peña;Ruy Gras;M;26;ruy83@yahoo.com;+34820889530;cra 64 #17-98;Tarjeta Crédito;Apple MacBook Pro 14;Apple;2;8000000;16000000;Apple MacBook Pro 16;Apple;2;9600000;19200000;;;null;null;null;5;33440000
33;9/11/2014;5:21:12 a. m.;Techcore Bogotá #2;Bogotá;Herminia Meléndez-Huguet;Alcides Cal Novoa;M;27;alcides57@hotmail.com;+34807859530;cll 16 #9-53;Tarjeta Crédito;Lenovo ThinkPad X1 Carbon;Lenovo;2;6800000;13600000;;;null;null;null;;;null;null;null;15;11560000
34;15/04/2019;2:05:52 a. m.;Techcore Bogotá #1;Bogotá;María Belén Alegria Camps;María Dolores Chaparro Mendoza;F;31;maria45@gmail.com;+34957789640;cll 87 #16-57;Billetera Digital;Lenovo ThinkPad X1 Carbon;Lenovo;2;6800000;13600000;;;null;null;null;;;null;null;null;0;13600000
35;12/07/2018;2:38:19 a. m.;Techcore Bogotá #1;Bogotá;María Belén Alegria Camps;Virginia Campo Nicolás;F;38;virginia39@hotmail.com;+34710422204;cll 4 #20-33;Tarjeta Crédito;Asus ZenBook 14;Asus;1;3800000;3800000;;;null;null;null;;;null;null;null;1;3420000
